# VELOCITY:     SINGLE_BLOCK_AVE_POFV:       PROGRESSIVE_AVE_POFV:        ERROR:
          0.293333             0.588          0.348105         0.0413057
          0.346667             0.752          0.490842         0.0448202
               0.4             1.154          0.769158         0.0675608
          0.453333             1.478           1.05168         0.0747246
          0.506667              2.31             1.442          0.126125
              0.56              2.44           1.68411          0.146357
          0.613333               1.7           1.79674          0.124787
          0.666667             2.086           1.91347         0.0917236
              0.72              2.21           2.16411          0.102626
          0.773333             2.696             2.328          0.110588
          0.826667             2.742           2.59916          0.104116
              0.88              3.36           2.69884         0.0849694
          0.933333             3.442           2.82495         0.0892832
          0.986667             2.526           3.27716           0.15883
              1.04              2.32           3.34558          0.228674
           1.09333              2.21           3.45789          0.206012
           1.14667             2.538           3.73358          0.220063
               1.2             2.724           3.82537          0.262123
           1.25333              3.78             3.944          0.198359
           1.30667             3.022           3.61632          0.178037
              1.36             3.246           3.61284          0.116738
           1.41333             3.088           3.46358          0.128762
           1.46667             3.208           3.29853          0.109524
              1.52             3.946           3.22516          0.120714
           1.57333              3.18           3.08632         0.0839578
         0.0266667                 0            0.0028        0.00116103
              0.08             0.072            0.0279        0.00860753
          0.133333              0.21            0.0856         0.0158604
          0.186667             0.256            0.1347          0.021583
              0.24             0.366            0.2221         0.0266655
          0.293333             0.444            0.3529         0.0395177
          0.346667             0.512            0.4919         0.0425917
               0.4              0.72            0.7667         0.0642275
          0.453333              0.72            1.0351         0.0728054
          0.506667             1.106            1.4252          0.120933
              0.56             1.092            1.6545          0.142002
          0.613333             1.158            1.7648          0.122566
          0.666667             1.376            1.8866         0.0909891
              0.72             1.398            2.1258          0.104399
          0.773333             1.902            2.3067           0.10709
          0.826667             1.804            2.5594          0.106231
              0.88             2.248            2.6763         0.0836577
          0.933333             4.128            2.8901          0.105957
          0.986667             4.158            3.3212          0.156876
              1.04             2.896            3.3231          0.218342
           1.09333             2.494            3.4097           0.20127
           1.14667             2.464            3.6701          0.218023
               1.2             2.884            3.7783          0.253207
           1.25333              5.28            4.0108          0.199372
           1.30667             4.002            3.6356          0.170177
              1.36             3.592            3.6118          0.110905
           1.41333              3.36            3.4584          0.122428
           1.46667             3.374            3.3023          0.104112
              1.52             4.858            3.3068          0.139582
           1.57333             3.048            3.0844         0.0797818
         0.0266667                 0        0.00266667        0.00111338
              0.08             0.014         0.0272381        0.00822305
          0.133333              0.02         0.0824762         0.0154097
          0.186667             0.102          0.133143         0.0206113
              0.24             0.188          0.220476         0.0254451
          0.293333             0.294          0.350095         0.0377353
          0.346667             0.394          0.487238         0.0408178
               0.4             0.644          0.760857         0.0614342
          0.453333             0.904           1.02886         0.0696056
          0.506667             0.904           1.40038          0.117693
              0.56             1.284           1.63686          0.136331
          0.613333             1.424           1.74857          0.117799
          0.666667              1.53           1.86962         0.0882266
              0.72             1.582            2.0999          0.102589
          0.773333             1.734           2.27943          0.105406
          0.826667             2.376           2.55067           0.10153
              0.88              4.35             2.756          0.111344
          0.933333             3.166           2.90324          0.101723
          0.986667             3.076           3.30952           0.14984
              1.04             3.244           3.31933          0.207977
           1.09333             3.812           3.42886          0.192595
           1.14667             4.034           3.68743          0.208329
               1.2              2.97           3.73981          0.244058
           1.25333             4.428           4.03067          0.190865
           1.30667             4.466           3.67514          0.166604
              1.36             4.156           3.63771           0.10861
           1.41333             4.692           3.51714          0.129929
           1.46667              3.46           3.30981         0.0994252
              1.52             4.462           3.36181          0.143366
           1.57333             3.422           3.10048         0.0775854
         0.0266667                 0        0.00254545        0.00106935
              0.08                 0             0.026        0.00794194
          0.133333                 0         0.0787273         0.0151584
          0.186667             0.202          0.136273         0.0199107
              0.24             0.176          0.218455         0.0243687
          0.293333             0.354          0.350273         0.0360205
          0.346667             0.542          0.489727         0.0390383
               0.4             0.672          0.756818         0.0587743
          0.453333              1.25           1.03891         0.0671636
          0.506667             1.714           1.41464          0.113204
              0.56             1.516           1.63136          0.130245
          0.613333             1.222           1.72464          0.114851
          0.666667             1.456           1.85082         0.0861963
              0.72             2.204           2.10464         0.0980349
          0.773333             2.336             2.282          0.100646
          0.826667             4.232           2.62709          0.122343
              0.88              4.42           2.83164          0.129449
          0.933333             2.536           2.88655         0.0984591
          0.986667             2.794           3.28609           0.14485
              1.04             3.282           3.31764          0.198531
           1.09333              3.59           3.43618           0.18398
           1.14667             2.866           3.65009          0.202177
               1.2             2.676           3.69145          0.237706
           1.25333             3.388           4.00145          0.184411
           1.30667             2.492           3.62136          0.167486
              1.36             3.262           3.62064          0.105007
           1.41333             3.508           3.51673          0.124023
           1.46667             3.302           3.30945         0.0949065
              1.52             3.742           3.37909          0.137887
           1.57333              1.97           3.04909         0.0894714
         0.0266667             0.008        0.00278261        0.00104882
              0.08              0.05         0.0270435        0.00766488
          0.133333             0.076         0.0786087         0.0144998
          0.186667             0.202           0.13913          0.019249
              0.24              0.22          0.218522         0.0233093
          0.293333             0.296          0.347913         0.0345316
          0.346667             0.548          0.492261         0.0374231
               0.4             0.604          0.750174         0.0565933
          0.453333             0.726            1.0253         0.0656069
          0.506667             2.066           1.44296          0.111768
              0.56             1.232             1.614          0.125734
          0.613333              1.67           1.72226          0.109882
          0.666667             1.118           1.81896         0.0881408
              0.72               1.6            2.0827         0.0961964
          0.773333             3.052           2.31548          0.101686
          0.826667             3.368            2.6593           0.12119
              0.88             3.678           2.86843          0.128945
          0.933333             3.232           2.90157          0.095317
          0.986667             3.092           3.27765          0.138797
              1.04             3.922           3.34391           0.19163
           1.09333             2.666            3.4027          0.179002
           1.14667             2.762           3.61148           0.19704
               1.2             3.318           3.67522          0.227925
           1.25333             3.856           3.99513          0.176502
           1.30667             4.464             3.658          0.164162
              1.36             3.964           3.63557          0.101497
           1.41333             3.436           3.51322          0.118681
